,date,state,positive,negative,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,death,hospitalized,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,positiveincrease,negativeincrease,total,totaltestresults,totaltestresultsincrease,posneg,deathincrease,hospitalizedincrease,commercialscore,negativeregularscore,negativescore,positivescore,score
0,2020-06-23,0,778,92169.0,14.0,0.0,0.0,0.0,1.0,0.0,502.0,12,0.0,92947.0,0.0,0.0,0.0,17,2106,92947,92947,2123,92947,0,0,0,0,0,0,0
1,2020-06-23,0,31097,322941.0,680.0,2521.0,0.0,737.0,0.0,430.0,15974.0,864,2521.0,0.0,0.0,0.0,30670.0,643,4285,354038,354038,4928,354038,23,50,0,0,0,0,0
2,2020-06-23,0,16678,247814.0,248.0,1188.0,0.0,0.0,57.0,186.0,11220.0,237,1188.0,0.0,0.0,0.0,16678.0,595,7558,264492,264492,8153,264492,10,24,0,0,0,0,0
3,2020-06-23,0,0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,174,174,0,174,0,0,0,0,0,0,0
4,2020-06-23,0,58179,382339.0,2136.0,4255.0,614.0,0.0,386.0,0.0,7746.0,1384,4255.0,440138.0,0.0,0.0,57799.0,3593,7135,440518,440518,10728,440518,42,0,0,0,0,0,0
5,2020-06-23,0,183073,3313856.0,5065.0,0.0,1421.0,0.0,0.0,0.0,0.0,5580,0.0,3496929.0,0.0,0.0,183073.0,5019,80224,3496929,3496929,85243,3496929,65,0,0,0,0,0,0
6,2020-06-23,0,30705,257171.0,249.0,5343.0,0.0,0.0,0.0,0.0,4342.0,1651,5343.0,0.0,0.0,0.0,27959.0,166,4938,287876,287876,5104,287876,4,16,0,0,0,0,0
7,2020-06-23,0,45899,358045.0,138.0,10099.0,0.0,0.0,0.0,0.0,7842.0,4277,10099.0,401986.0,0.0,0.0,43941.0,117,6275,403944,403944,6392,403944,14,0,0,0,0,0,0
8,2020-06-23,0,10094,73208.0,171.0,0.0,61.0,0.0,40.0,0.0,1182.0,537,0.0,0.0,0.0,0.0,10094.0,36,1262,83302,83302,1298,83302,2,0,0,0,0,0,0
9,2020-06-23,0,10847,86689.0,91.0,0.0,0.0,0.0,0.0,0.0,6554.0,504,0.0,0.0,0.0,0.0,9792.0,27,786,97536,97536,813,97536,0,0,0,0,0,0,0
10,2020-06-23,0,103503,1537249.0,0.0,13614.0,0.0,0.0,0.0,0.0,0.0,3333,13614.0,1944730.0,135955.0,1805379.0,103503.0,3286,19979,1642177,1640752,23265,1640752,67,207,0,0,0,0,0
11,2020-06-23,0,67678,663583.0,1056.0,10123.0,0.0,2174.0,0.0,0.0,0.0,2688,10123.0,731261.0,61843.0,669418.0,67678.0,1750,21485,731261,731261,23235,731261,40,170,0,0,0,0,0
12,2020-06-23,0,225,10426.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,5,0.0,10445.0,217.0,10228.0,217.0,1,246,10651,10651,247,10651,0,0,0,0,0,0,0
13,2020-06-23,0,816,68524.0,0.0,99.0,0.0,0.0,0.0,0.0,669.0,17,99.0,80394.0,816.0,79578.0,816.0,2,627,69340,69340,629,69340,0,2,0,0,0,0,0
14,2020-06-23,0,26373,238330.0,163.0,0.0,47.0,0.0,26.0,0.0,16579.0,688,0.0,0.0,0.0,0.0,26373.0,322,5749,264703,264703,6071,264703,2,0,0,0,0,0,0
15,2020-06-23,0,4254,71910.0,0.0,293.0,0.0,102.0,0.0,0.0,3405.0,89,293.0,75730.0,0.0,0.0,3820.0,248,2948,76164,76164,3196,76164,0,10,0,0,0,0,0
16,2020-06-23,0,138825,1261685.0,1648.0,0.0,424.0,0.0,236.0,0.0,0.0,6911,0.0,1399510.0,0.0,0.0,137825.0,601,19906,1400510,1400510,20507,1400510,36,0,0,0,0,0,0
17,2020-06-23,0,42871,383505.0,736.0,6853.0,297.0,1447.0,110.0,0.0,32152.0,2569,6853.0,0.0,0.0,0.0,42871.0,238,7222,426376,426376,7460,426376,16,34,0,0,0,0,0
18,2020-06-23,0,12465,142548.0,0.0,1056.0,0.0,342.0,0.0,149.0,722.0,259,1056.0,0.0,0.0,0.0,12465.0,0,0,155013,155013,0,155013,0,0,0,0,0,0,0
19,2020-06-23,0,14141,317153.0,376.0,2556.0,70.0,988.0,0.0,0.0,3591.0,537,2556.0,0.0,0.0,0.0,13736.0,302,8960,331294,331294,9262,331294,11,24,0,0,0,0,0
20,2020-06-23,0,51595,584344.0,646.0,0.0,0.0,0.0,83.0,0.0,39792.0,3134,0.0,0.0,0.0,0.0,51595.0,1356,16519,635939,635939,17875,635939,17,0,0,0,0,0,0
21,2020-06-23,0,107439,680203.0,953.0,11157.0,181.0,0.0,112.0,0.0,0.0,7890,11157.0,985711.0,0.0,0.0,102651.0,229,7350,787642,787642,7579,787642,16,63,0,0,0,0,0
22,2020-06-23,0,65007,418528.0,561.0,10611.0,212.0,0.0,0.0,0.0,4797.0,3092,10611.0,583091.0,0.0,0.0,65007.0,404,8406,483535,483535,8810,483535,18,39,0,0,0,0,0
23,2020-06-23,0,2994,78713.0,24.0,339.0,12.0,0.0,6.0,0.0,2443.0,102,339.0,81707.0,3645.0,77942.0,2655.0,23,680,81707,81707,703,81707,0,3,0,0,0,0,0
24,2020-06-23,0,68197,860471.0,557.0,0.0,209.0,0.0,99.0,0.0,49290.0,6109,0.0,945209.0,84738.0,860471.0,61630.0,240,10411,928668,928668,10651,928668,12,0,0,0,0,0,0
25,2020-06-23,0,33469,486576.0,339.0,3860.0,158.0,1191.0,0.0,0.0,29399.0,1425,3860.0,520045.0,0.0,0.0,33469.0,242,6666,520045,520045,6908,520045,9,30,0,0,0,0,0
26,2020-06-23,0,18143,299231.0,595.0,0.0,0.0,0.0,66.0,0.0,0.0,961,0.0,382610.0,21737.0,360303.0,18143.0,0,0,317374,317374,0,317374,0,0,0,0,0,0,0
27,2020-06-23,0,30,8187.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2,0.0,8217.0,0.0,0.0,30.0,0,48,8217,8217,48,8217,0,0,0,0,0,0,0
28,2020-06-23,0,22898,241066.0,664.0,2915.0,151.0,0.0,88.0,0.0,17242.0,989,2915.0,263811.0,0.0,0.0,22745.0,611,10104,263964,263964,10715,263964,11,34,0,0,0,0,0
29,2020-06-23,0,743,73180.0,15.0,91.0,0.0,0.0,0.0,0.0,566.0,21,91.0,0.0,0.0,0.0,743.0,3,2615,73923,73923,2618,73923,0,1,0,0,0,0,0
30,2020-06-23,0,54453,719375.0,915.0,0.0,0.0,0.0,0.0,0.0,36921.0,1251,0.0,0.0,0.0,0.0,54453.0,848,15635,773828,773828,16483,773828,28,0,0,0,0,0,0
31,2020-06-23,0,3320,94233.0,28.0,218.0,0.0,0.0,0.0,0.0,3008.0,84,218.0,158524.0,0.0,0.0,3320.0,7,93,97553,97553,100,97553,1,0,0,0,0,0,0
32,2020-06-23,0,17957,140685.0,135.0,1234.0,0.0,0.0,0.0,0.0,11980.0,249,1234.0,0.0,0.0,0.0,17957.0,147,1987,158642,158642,2134,158642,5,22,0,0,0,0,0
33,2020-06-23,0,5558,103318.0,54.0,558.0,0.0,160.0,0.0,0.0,4290.0,339,558.0,0.0,0.0,0.0,5558.0,14,0,108876,108876,14,108876,0,5,0,0,0,0,0
