,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200623,AK,778,92169.0,,14.0,,,,1.0,,502.0,A,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,12,,2020-06-23T00:00:00Z,92947.0,,,,2,17,2106,92947,92947,2123,92947,0,0,f35d9d60a800f017ff47a041f47e0d05531a0a5d,0,0,0,0,0,
1,20200623,AL,31097,322941.0,,680.0,2521.0,,737.0,,430.0,15974.0,B,6/23/2020 11:00,2020-06-23T11:00:00Z,06/23 07:00,864,2521.0,2020-06-23T11:00:00Z,,,,30670.0,1,643,4285,354038,354038,4928,354038,23,50,d0d195d69fd8e81e5ab80f001a6c0919dbdcf204,0,0,0,0,0,
2,20200623,AR,16678,247814.0,,248.0,1188.0,,,57.0,186.0,11220.0,A,6/23/2020 14:50,2020-06-23T14:50:00Z,06/23 10:50,237,1188.0,2020-06-23T14:50:00Z,,,,16678.0,5,595,7558,264492,264492,8153,264492,10,24,85ada121319e67e007e948504ed59ad41d6e8df9,0,0,0,0,0,
3,20200623,AS,0,174.0,,,,,,,,,C,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,0,,2020-06-01T00:00:00Z,,,,,60,0,0,174,174,0,174,0,0,0d9d878b490e6460c45ff06c325b3f28f1419ee8,0,0,0,0,0,
4,20200623,AZ,58179,382339.0,,2136.0,4255.0,614.0,,386.0,,7746.0,A+,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,1384,4255.0,2020-06-23T00:00:00Z,440138.0,,,57799.0,4,3593,7135,440518,440518,10728,440518,42,0,d80761e660fa46dfc4d7747eba8a6bcb8216783c,0,0,0,0,0,
5,20200623,CA,183073,3313856.0,,5065.0,,1421.0,,,,,B,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,5580,,2020-06-23T00:00:00Z,3496929.0,,,183073.0,6,5019,80224,3496929,3496929,85243,3496929,65,0,da0ba488d4aa04cfc79500ce5b82c70f6405f3d7,0,0,0,0,0,
6,20200623,CO,30705,257171.0,,249.0,5343.0,,,,,4342.0,A,6/22/2020 00:00,2020-06-22T00:00:00Z,06/21 20:00,1651,5343.0,2020-06-22T00:00:00Z,,,,27959.0,8,166,4938,287876,287876,5104,287876,4,16,bc38ca867adb4dbd58eae52d1d48112a33b3564b,0,0,0,0,0,
7,20200623,CT,45899,358045.0,,138.0,10099.0,,,,,7842.0,B,6/23/2020 15:30,2020-06-23T15:30:00Z,06/23 11:30,4277,10099.0,2020-06-23T15:30:00Z,401986.0,,,43941.0,9,117,6275,403944,403944,6392,403944,14,0,755f3dba051d53ebbf4c29d98c7b170c2a0ffbc2,0,0,0,0,0,
8,20200623,DC,10094,73208.0,,171.0,,61.0,,40.0,,1182.0,A+,6/22/2020 00:00,2020-06-22T00:00:00Z,06/21 20:00,537,,2020-06-22T00:00:00Z,,,,10094.0,11,36,1262,83302,83302,1298,83302,2,0,5b10658355f57c1d2f7cb297b1041abc77fd9026,0,0,0,0,0,
9,20200623,DE,10847,86689.0,,91.0,,,,,,6554.0,A,6/22/2020 18:00,2020-06-22T18:00:00Z,06/22 14:00,504,,2020-06-22T18:00:00Z,,,,9792.0,10,27,786,97536,97536,813,97536,0,0,b6ef3fb2d12078257884433beb69b7d00a0e0ad7,0,0,0,0,0,
10,20200623,FL,103503,1537249.0,1425.0,,13614.0,,,,,,A,6/22/2020 23:59,2020-06-22T23:59:00Z,06/22 19:59,3333,13614.0,2020-06-22T23:59:00Z,1944730.0,135955.0,1805379.0,103503.0,12,3286,19979,1642177,1640752,23265,1640752,67,207,c11715fd7c1897e1901e4d550870a16fe989960d,0,0,0,0,0,
11,20200623,GA,67678,663583.0,,1056.0,10123.0,,2174.0,,,,A,6/23/2020 14:50,2020-06-23T14:50:00Z,06/23 10:50,2688,10123.0,2020-06-23T14:50:00Z,731261.0,61843.0,669418.0,67678.0,13,1750,21485,731261,731261,23235,731261,40,170,0ae20927b462681c26d2d2f715eb8d9242cceb65,0,0,0,0,0,
12,20200623,GU,225,10426.0,,0.0,,0.0,,0.0,,174.0,A,6/23/2020 08:00,2020-06-23T08:00:00Z,06/23 04:00,5,,2020-06-23T08:00:00Z,10445.0,217.0,10228.0,217.0,66,1,246,10651,10651,247,10651,0,0,764541e214d4fc65efc2da26e13e5ae66f4c0d77,0,0,0,0,0,
13,20200623,HI,816,68524.0,,,99.0,,,,,669.0,D,6/22/2020 18:00,2020-06-22T18:00:00Z,06/22 14:00,17,99.0,2020-06-22T18:00:00Z,80394.0,816.0,79578.0,816.0,15,2,627,69340,69340,629,69340,0,2,df9d30629a3f3033671c33ab173fdf2455bee77c,0,0,0,0,0,
14,20200623,IA,26373,238330.0,,163.0,,47.0,,26.0,,16579.0,A+,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,688,,2020-06-23T00:00:00Z,,,,26373.0,19,322,5749,264703,264703,6071,264703,2,0,bfc5375c23a6b98a6d0a9f0471d62113d0834a18,0,0,0,0,0,
15,20200623,ID,4254,71910.0,,,293.0,,102.0,,,3405.0,A,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,89,293.0,2020-06-23T00:00:00Z,75730.0,,,3820.0,16,248,2948,76164,76164,3196,76164,0,10,618ffee91e762c1b9b73dc8e140feef59e176ed8,0,0,0,0,0,
16,20200623,IL,138825,1261685.0,,1648.0,,424.0,,236.0,,,A,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,6911,,2020-06-23T00:00:00Z,1399510.0,,,137825.0,17,601,19906,1400510,1400510,20507,1400510,36,0,cb4694dd0951471b9b5a994f122234feda1d49c7,0,0,0,0,0,
17,20200623,IN,42871,383505.0,,736.0,6853.0,297.0,1447.0,110.0,,32152.0,A+,6/22/2020 23:59,2020-06-22T23:59:00Z,06/22 19:59,2569,6853.0,2020-06-22T23:59:00Z,,,,42871.0,18,238,7222,426376,426376,7460,426376,16,34,1d2077d1001c4fb1aedc57c31dba8553b676dbd7,0,0,0,0,0,
18,20200623,KS,12465,142548.0,,,1056.0,,342.0,,149.0,722.0,A,6/22/2020 10:00,2020-06-22T10:00:00Z,06/22 06:00,259,1056.0,2020-06-22T10:00:00Z,,,,12465.0,20,0,0,155013,155013,0,155013,0,0,d69e301dd42a8b5051b1d392a27548b58f2e1a39,0,0,0,0,0,
19,20200623,KY,14141,317153.0,,376.0,2556.0,70.0,988.0,,,3591.0,B,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,537,2556.0,2020-06-23T00:00:00Z,,,,13736.0,21,302,8960,331294,331294,9262,331294,11,24,e6bd6d1907a3029d84b3c1c760f4f16650eee21e,0,0,0,0,0,
20,20200623,LA,51595,584344.0,,646.0,,,,83.0,,39792.0,B,6/23/2020 13:00,2020-06-23T13:00:00Z,06/23 09:00,3134,,2020-06-23T13:00:00Z,,,,51595.0,22,1356,16519,635939,635939,17875,635939,17,0,f62b4d2141e8a047c62527fa7dfc91e759ee7632,0,0,0,0,0,
21,20200623,MA,107439,680203.0,,953.0,11157.0,181.0,,112.0,,,A+,6/23/2020 10:00,2020-06-23T10:00:00Z,06/23 06:00,7890,11157.0,2020-06-23T10:00:00Z,985711.0,,,102651.0,25,229,7350,787642,787642,7579,787642,16,63,dd84241b4c92279d32bb8c2589685bd89bd232a0,0,0,0,0,0,
22,20200623,MD,65007,418528.0,,561.0,10611.0,212.0,,,,4797.0,A,6/23/2020 10:00,2020-06-23T10:00:00Z,06/23 06:00,3092,10611.0,2020-06-23T10:00:00Z,583091.0,,,65007.0,24,404,8406,483535,483535,8810,483535,18,39,af631fa44e149a0daa29e6682ffc88855397cdf6,0,0,0,0,0,
23,20200623,ME,2994,78713.0,,24.0,339.0,12.0,,6.0,,2443.0,B,6/23/2020 12:30,2020-06-23T12:30:00Z,06/23 08:30,102,339.0,2020-06-23T12:30:00Z,81707.0,3645.0,77942.0,2655.0,23,23,680,81707,81707,703,81707,0,3,324c917be667a89e77e670c6bdb47384d7d791e9,0,0,0,0,0,
24,20200623,MI,68197,860471.0,,557.0,,209.0,,99.0,,49290.0,A+,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,6109,,2020-06-23T00:00:00Z,945209.0,84738.0,860471.0,61630.0,26,240,10411,928668,928668,10651,928668,12,0,77ec6afc36de69d5b65e44aad18690ad908c71ad,0,0,0,0,0,
25,20200623,MN,33469,486576.0,,339.0,3860.0,158.0,1191.0,,,29399.0,A,6/22/2020 17:00,2020-06-22T17:00:00Z,06/22 13:00,1425,3860.0,2020-06-22T17:00:00Z,520045.0,,,33469.0,27,242,6666,520045,520045,6908,520045,9,30,3c318b7c980f6fbd3e9e793fca4347ac9c41f98f,0,0,0,0,0,
