,state,county,status,population,latitude,longitude,ttl_staff,beds
0,California,KINGS,CLOSED,49,36.3361588500001,-119.64566729799999,0,49
1,California,VENTURA,OPEN,62,34.1549388720001,-118.815736391,0,62
2,California,LOS ANGELES,OPEN,127,34.023647302,-118.184164805,0,127
3,California,LOS ANGELES,OPEN,100,34.0963913570001,-118.325234871,0,100
4,California,LOS ANGELES,OPEN,95,34.063038932,-117.967437788,0,95
5,California,LOS ANGELES,OPEN,172,33.8597066200001,-118.148402965,0,172
6,California,LOS ANGELES,OPEN,49,34.1487586590001,-117.99266765700001,0,49
7,California,LOS ANGELES,OPEN,101,34.0494660590001,-118.138262231,0,101
8,California,LOS ANGELES,OPEN,16,33.823914464,-118.35609694700001,0,16
9,California,RIVERSIDE,OPEN,78,33.8580833070001,-117.553858035,0,78
10,California,MODOC,OPEN,87,41.4800562550001,-120.54574398700001,0,87
11,California,MONTEREY,OPEN,269,36.659030455999996,-121.645983804,0,269
12,Texas,NUECES,CLOSED,189,27.778510168,-97.39620831299999,0,189
13,California,ORANGE,OPEN,27,33.782727173000104,-117.833891865,0,27
14,California,ORANGE,OPEN,48,33.7474607400001,-117.831055631,0,48
15,California,ORANGE,OPEN,86,33.934495886,-117.893948792,0,86
16,California,ORANGE,OPEN,109,33.7635332090001,-117.99525596299999,0,109
17,California,TULARE,OPEN,63,36.320843946,-119.34823452799999,0,63
18,Georgia,CHARLTON,CLOSED,0,30.845275348,-82.005057392,0,0
19,Louisiana,IBERIA,OPEN,103,30.006906976999996,-91.79452385299999,0,103
20,Texas,HOUSTON,OPEN,25,31.32360364,-95.43889930599991,0,25
21,Louisiana,RAPIDES,OPEN,128,31.327378942000102,-92.4401351129999,0,128
22,Louisiana,UNION,OPEN,11,32.8239916700001,-92.65664868100001,0,11
23,Louisiana,UNION,OPEN,18,32.776127934,-92.4056258479999,0,18
24,Louisiana,CONCORDIA,OPEN,40,31.5611748630001,-91.4260669829999,0,40
25,Louisiana,CALDWELL,OPEN,40,32.0600399510001,-92.099137669,0,40
26,Georgia,FRANKLIN,CLOSED,144,34.2832503650001,-83.118972365,0,144
27,California,LOS ANGELES,OPEN,121,33.8070928700001,-118.19338992899999,0,121
28,California,ALAMEDA,OPEN,216,37.706406198,-122.16465451799999,0,216
29,California,LOS ANGELES,OPEN,177,33.8846318610001,-118.162267066,0,177
30,California,LOS ANGELES,OPEN,1265,33.928031349,-118.06798967200001,0,1265
31,Illinois,PERRY,OPEN,0,38.084846,-89.3491079999999,0,17
32,Georgia,CHATHAM,OPEN,0,31.985430321,-81.15455636899999,0,294
33,Georgia,FLOYD,OPEN,45,34.259713445,-85.1802396319999,0,45
34,Georgia,UPSON,OPEN,115,32.886297701,-84.33650698799991,0,115
35,Georgia,SUMTER,OPEN,76,32.0669623380001,-84.2560501999999,0,76
36,Georgia,MERIWETHER,OPEN,32,32.887980741,-84.69234490000001,0,32
37,Georgia,COWETA,OPEN,25,33.3848346460001,-84.757746692,0,50
38,,METRO,OPEN,0,18.380443000000103,-65.95579000000001,0,988
39,Wisconsin,BROWN,OPEN,16,44.522712261,-87.924827084,0,16
40,Wisconsin,MILWAUKEE,OPEN,40,43.035812152000105,-88.037265823,0,40
41,,BAYAMON,OPEN,0,18.3676556610001,-66.154391259,0,0
42,Louisiana,RAPIDES,OPEN,0,31.252191558000003,-92.481987814,0,18
