,state,date,lat,long,confirmed,deaths,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
0,Alabama,2020-06-23 ,32.3182,-86.9023,30454,841,15974.0,13639.0,621.1064848664695,349110.0,2471.0,2.7615419977671243,7120.065834758428,8.113876666447757
1,Alaska,2020-06-23 ,61.3707,-152.4044,758,12,491.0,255.0,103.6163188867397,90824.0,0.0,1.5831134564643798,12415.367475685025,0.0
2,American Samoa,2020-06-23 ,-14.271,-170.132,0,0,0.0,0.0,0.0,174.0,0.0,0.0,312.7190381193724,0.0
3,Arizona,2020-06-23 ,33.7298,-111.4312,54599,1351,7581.0,45667.0,750.118461811333,429790.0,4185.0,2.4744042931189214,5904.749422185257,7.664975549002729
4,Arkansas,2020-06-23 ,34.9697,-92.3731,16083,227,10793.0,5063.0,532.9371953910857,256339.0,1164.0,1.4114282161288316,8494.22295152369,7.237455698563701
5,California,2020-06-23 ,36.1162,-119.6816,184765,5566,0.0,179199.0,467.6147935285747,3411686.0,0.0,3.0124753064703813,8634.507858492296,0.0
6,Colorado,2020-06-23 ,39.0598,-105.3111,30689,1651,4328.0,24710.0,532.9120834849871,282772.0,5327.0,5.379777770536674,4910.3136521625565,17.358011013718272
7,Connecticut,2020-06-23 ,41.5978,-72.7554,45782,4263,7842.0,33677.0,1284.104196941228,397552.0,10099.0,9.311519811279542,11150.631071215304,22.058887772487004
8,Delaware,2020-06-23 ,39.3185,-75.5071,10820,435,6459.0,3926.0,1111.15218882604,96723.0,0.0,4.020332717190389,9932.899552663685,0.0
9,Diamond Princess,2020-06-23 ,0.0,0.0,49,0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
10,District of Columbia,2020-06-23 ,38.8974,-77.0268,10058,535,1182.0,8341.0,1425.152568406048,82004.0,0.0,5.319148936170213,11619.428437022229,0.0
11,Florida,2020-06-23 ,27.7663,-81.6868,100217,3173,0.0,97044.0,466.6087493295965,1617487.0,13407.0,3.1661294989871984,7530.993605145644,13.377969805522016
12,Georgia,2020-06-23 ,33.0406,-83.6431,65928,2648,0.0,63280.0,620.9416352725137,708026.0,9953.0,4.01650285159568,6668.529642268185,15.09677223637908
13,Grand Princess,2020-06-23 ,0.0,0.0,103,3,0.0,100.0,0.0,0.0,0.0,2.9126213592233015,0.0,0.0
14,Guam,2020-06-23 ,13.4443,144.7937,222,5,173.0,44.0,135.17710026852748,10404.0,0.0,2.2522522522522523,6335.056536908828,0.0
15,Hawaii,2020-06-23 ,21.0943,-157.4983,816,17,651.0,148.0,57.63232834606518,68711.0,97.0,2.083333333333333,4852.910432581476,11.887254901960786
16,Idaho,2020-06-23 ,44.2405,-114.4788,4256,89,3305.0,862.0,238.15585890832173,72968.0,283.0,2.0911654135338344,4083.119528388727,6.649436090225563
17,Illinois,2020-06-23 ,40.3495,-88.9861,137224,6671,0.0,130553.0,1082.9067108823583,1380003.0,0.0,4.861394508249286,10890.329022166585,0.0
18,Indiana,2020-06-23 ,39.8494,-86.2583,42633,2553,31739.0,8341.0,633.268169083626,418916.0,6819.0,5.988318907888257,6222.554554449283,15.994652030117516
19,Iowa,2020-06-23 ,42.0115,-93.2105,26146,686,16240.0,9220.0,828.6979369712875,258632.0,0.0,2.623728294959076,8197.345859204392,0.0
20,Kansas,2020-06-23 ,38.5266,-96.7265,12428,258,722.0,11448.0,426.59321995500665,155013.0,1056.0,2.075957515288059,5320.847666952481,8.496942388155777
